File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
sdio_sdcard.o,14.973721%,6809,61,6804,0,5,56
ff.o,13.108878%,5961,6,5804,157,0,6
oled.o,8.046533%,3659,23,1564,2072,23,0
mc_w.l,6.548941%,2978,0,2978,0,0,0
mcu_cmic_gd32f470vet6.o,6.148704%,2796,604,2794,0,2,602
sd_app.o,5.359224%,2437,1374,1342,1095,0,1374
printfa.o,5.057947%,2300,0,2300,0,0,0
ebtn.o,3.690102%,1678,60,1678,0,0,60
gd25qxx.o,3.454797%,1571,0,1256,315,0,0
ccsbcs.o,2.938007%,1336,0,120,1216,0,0
mf_w.l,2.427814%,1104,0,1104,0,0,0
gd32f4xx_rcu.o,1.776879%,808,0,800,8,0,0
system_gd32f4xx.o,1.548171%,704,4,700,0,4,0
perf_counter.o,1.530579%,696,36,692,4,0,36
gd32f4xx_dma.o,1.403030%,638,0,638,0,0,0
gd32f4xx_sdio.o,1.376641%,626,0,626,0,0,0
gd32f4xx_usart.o,1.244695%,566,0,566,0,0,0
gd32f4xx_timer.o,1.205111%,548,0,548,0,0,0
gd32f4xx_adc.o,1.187518%,540,0,540,0,0,0
btn_app.o,1.143536%,520,196,310,14,196,0
gd30ad3344.o,1.059970%,482,2,482,0,0,2
startup_gd32f450_470.o,1.020386%,464,8192,36,428,0,8192
gd32f4xx_i2c.o,0.976404%,444,0,444,0,0,0
gd32f4xx_rtc.o,0.958811%,436,0,436,0,0,0
main.o,0.934621%,425,0,352,73,0,0
oled_app.o,0.743298%,338,0,338,0,0,0
dadd.o,0.734502%,334,0,334,0,0,0
gd32f4xx_pmu.o,0.655334%,298,16,298,0,0,16
gd32f4xx_gpio.o,0.620148%,282,0,282,0,0,0
diskio.o,0.518989%,236,0,236,0,0,0
dmul.o,0.501396%,228,0,228,0,0,0
gd32f4xx_it.o,0.496998%,226,0,226,0,0,0
ddiv.o,0.488202%,222,0,222,0,0,0
gd32f4xx_misc.o,0.475007%,216,0,216,0,0,0
gd32f4xx_dac.o,0.457414%,208,0,208,0,0,0
depilogue.o,0.409034%,186,0,186,0,0,0
gd32f4xx_exti.o,0.409034%,186,0,186,0,0,0
usart_app.o,0.373848%,170,515,170,0,0,515
perfc_port_default.o,0.373848%,170,0,170,0,0,0
led_app.o,0.371649%,169,7,162,0,7,0
scheduler.o,0.360654%,164,73,92,0,72,1
gd32f4xx_syscfg.o,0.290282%,132,0,132,0,0,0
systick.o,0.259495%,118,4,118,0,0,4
gd32f4xx_spi.o,0.246300%,112,0,112,0,0,0
uldiv.o,0.215512%,98,0,98,0,0,0
ldiv.o,0.215512%,98,0,98,0,0,0
__dczerorl2.o,0.189123%,86,0,86,0,0,0
rtc_app.o,0.140743%,64,0,64,0,0,0
dfixul.o,0.105557%,48,0,48,0,0,0
cdrcmple.o,0.105557%,48,0,48,0,0,0
init.o,0.105557%,48,0,48,0,0,0
uidiv.o,0.096761%,44,0,44,0,0,0
cpp_init.o,0.087964%,40,0,40,0,0,0
adc_app.o,0.087964%,40,0,40,0,0,0
f2d.o,0.083566%,38,0,38,0,0,0
memseta.o,0.079168%,36,0,36,0,0,0
memcpya.o,0.079168%,36,0,36,0,0,0
llsshr.o,0.079168%,36,0,36,0,0,0
systick_wrapper_ual.o,0.079168%,36,0,36,0,0,0
llushr.o,0.070371%,32,0,32,0,0,0
llshl.o,0.065973%,30,0,30,0,0,0
handlers.o,0.065973%,30,0,30,0,0,0
memcmp.o,0.057177%,26,0,26,0,0,0
strlen.o,0.030787%,14,0,14,0,0,0
entry9a.o,0.017593%,8,0,8,0,0,0
entry2.o,0.017593%,8,0,8,0,0,0
entry8a.o,0.008796%,4,0,4,0,0,0
entry5.o,0.008796%,4,0,4,0,0,0
