File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,73.319611%,8192,464,36,428,0,8192
sd_app.o,12.297503%,1374,2437,1342,1095,0,1374
mcu_cmic_gd32f470vet6.o,5.405889%,604,2796,2794,0,2,602
usart_app.o,4.609326%,515,170,170,0,0,515
btn_app.o,1.754229%,196,590,380,14,196,0
scheduler.o,0.653361%,73,164,92,0,72,1
sdio_sdcard.o,0.545959%,61,6809,6804,0,5,56
ebtn.o,0.537009%,60,1678,1678,0,0,60
perf_counter.o,0.322205%,36,696,692,4,0,36
oled.o,0.205853%,23,3659,1564,2072,23,0
gd32f4xx_pmu.o,0.143202%,16,298,298,0,0,16
led_app.o,0.062651%,7,169,162,0,7,0
ff.o,0.053701%,6,5961,5804,157,0,6
systick.o,0.035801%,4,118,118,0,0,4
system_gd32f4xx.o,0.035801%,4,704,700,0,4,0
gd30ad3344.o,0.017900%,2,482,482,0,0,2
